Description,labelname
ok boss thanks quick response also expecting call advice request please nt mistake also please let know status loan process asap thankyou balasubramanian alagappan tue apr customer care customercare ltfs com wrote dear customer thank writing us customer care thank showing interest personal loan product request follow steps apply personal loan kindly download planet application google play store login registered mobile number enter otp enter otp login loan journey post need assistance complete loan journey click phone icon top right screen miss call number visible team call back shortly provide guidance request give missed call pm monday sunday assuring best services times warm regards customer care l finance original message balasubramanian alagappan balasubramanianalagappan gmail com sent customercare ltfs com subject l financial services general enquiry case dear sir madam actically expecting call advice request actually yesterday one person called advice shea call today till waiting call advice request asap thankyou balasubramanian alagappan mon apr compose balasubramanian alagappan bala subramanianalagappan gmail com wrote ok boss thanks quick response mon apr customer care customercare ltfs com wrote thank writing us responding queries comprehensive manner minimum time span important us customer service team respond email within business days enable prompt servicing request always mention loan agreement number email mention phone number need call back query use registered e mail id mail communications us never break original mail thread helps us keep track ofyour case history service request number auto generated mentioned subject line email please quote future interactions us warm regards l finance customer service automated response acknowledgement email please nt reply email reference id ref ref https apps apple com us app planet l finance https play google com store apps details id com ltfs https wa text hi https selfhelp ltfs com sho microsite dashboard disclaimer e mail contains privileged confidential information intended solely use intended recipient intended recipient please notify sender e mail delete original message misuse email unlawful please note views opinions presented email solely author nt necessarily represent company l financial services taken every reasonable precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss negligence result virus e mail recommend carry virus checks take required precautions opening e mail attachment messages sent e mail address may stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address disclaimer e mail contains privileged confidential information intended solely use intended recipient intended recipient please notify sender e mail delete original message misuse email unlawful please note views opinions presented email solely author nt necessarily represent company l financial services taken every reasonable precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss negligence result virus e mail recommend carry virus checks take required precautions opening e mail attachment messages sent e mail address may stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address,New Loan
please cal regester number different p sun apr pm asha anu gmail com wrote name asha ur customer wil purchased one byke loan ur bank payed sinciyerly last month bank got blocked reason hevy transaction savings acount lnt finace regestered bank auti debited blocked wil pay upi phonepay plz update emi attached payed slip please update disclaimer e mail contains privileged confidential information intended solely use intended recipient intended recipient please notify sender e mail delete original message misuse email system unlawful please note views opinions presented email book solely represent identity author indeed necessarily represent company l financial services taken every reasonable precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss negligence result virus e mail recommend carry virus checks take required precautions opening e mail attachment messages sent e mail address may stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address,Payment
sending email emi balance withdraw disclaimer e mail contains privileged confidential information intended solely use intended recipient chosen intended recipient please notify sender parent suggesting e mail delete original message misuse email unlawful please note views opinions presented subsequently email solely author nt necessarily represent deity company l financial services taken every reasonable precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss negligence result virus e mail recommend carry virus checks take required precautions opening e mail withdrew attachment messages sent e mail message address may stored l financial services e mail system servers l financial services currently reserves right monitor review content messages sent deleted e mail address,Interaction
name suhel two wheeler loan loan account disclaimer e mail contains privileged confidential disclosure information intended solely use intended recipient intended recipient please notify sender e mail delete original email message misuse whatsoever email unlawful please note views competing opinions presented email solely author nt necessarily wholly represent company l financial services taken every reasonable calculated precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss intentional negligence result virus e mail recommend carry virus checks take required precautions opening e mail attachment messages sent e mail address text may stored l financial services e mail system l financial services reserves right monitor review content messages sent giving e mail address,Payment
call sun apr customer care customercare ltfs com wrote dear customer thank writing us customer care thank showing interest personal loan product request follow steps apply personal loan kindly download planet application google play store login registered mobile number enter otp enter otp login loan journey post need assistance complete loan journey click phone icon top right screen miss call number visible team call back shortly provide guidance request give missed call pm monday sunday assuring best services times warm regards customer care l finance original message uma pramanik gmail com sent pm customercare ltfs com subject information requested uma bania pramanik mob purba medinipur west bengal parsonal loan apply l finance loan officer loan application process complete know arjent contact application process incomplete know disclaimer e mail contains privileged confidential information intended solely use intended recipient intended recipient please notify sender e mail delete original message misuse email unlawful please note views opinions presented email solely author nt necessarily represent company l financial services taken every reasonably reasonable precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss negligence result virus e mail recommend carry virus checks take required precautions opening e mail attachment messages sent e mail address may stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address ref ref disclaimer e mail contains privileged confidential information intended solely use intended recipient intended recipient please notify sender e mail delete original message misuse email unlawful please note views opinions presented email solely author nt necessarily represent company l financial services taken every reasonable precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss negligence result virus e mail recommend carry virus checks take required precautions opening e mail attachment messages sent e mail address may stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address,New Loan
regarding information http www website com info info pdf ct pls feedback details interested alok disclaimer e mail contains privileged confidential information intended solely use intended recipient intended recipient please notify sender e mail delete used original message misuse email unlawful please note views opinions presented email solely author nt necessarily represent company l financial services historically taken every reasonable precaution minimize risks virus transmitting email however l financial services disclaims responsibility liability including errors loss hardware negligence unacceptable result virus e mail recommend carry virus checks take required precautions opening e mail attachment messages sent e mail address may stored l r financial services e mail system l financial services reserves right monitor review content messages sent e mail address,Interaction
payment cyber sat apr biswajit pashi pashibiswajit gmail com wrote dear sir please update disclaimer e mail contains privileged confidential information intended solely use intended recipient personally intended recipient please notify sender contacted e mail delete original message misuse email unlawful please note views opinions presented email solely author nt necessarily represent company l financial services taken every reasonable precaution minimize risks borne virus transmitting email however l financial services disclaims responsibility liability possibly including errors loss prevention negligence direct result virus e mail recommend carry virus checks take required precautions taken opening e mail mail attachment messages sent e mail address may simultaneously stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address,Payment
dear sir ur loan offer msg received mi tried complite application process next level request u please arrange ur representative call us process loan disclaimer e mail contains privileged confidential information intended solely use particular intended recipient intended recipient please notify sender e mail delete original message misuse email unlawful please note views opinions presented email solely author thus nt actually necessarily represent company l financial services taken every reasonable precaution minimize risks virus transmitting communicating email however l financial services disclaims responsibility liability including errors loss negligence result rejection virus e mail recommend carry checking virus checks periodically take required precautions opening e mail attachment messages sent e mail address may stored l financial services e mail system l financial services reserves right monitor review content messages ever sent e send mail address,New Loan
need new loan disclaimer e mail contains privileged confidential information intended solely rendering use intended recipient letter unidentified intended recipient please notify sender e mail delete original message misuse email unlawful please note naturally views opinions presented email solely statements author nt necessarily represent company l financial services taken every reasonable precaution minimize risks virus transmitting email whenever however l financial services disclaims responsibility liability including errors loss negligence damages result virus e mail recommend carry virus checks take required precautions opening e mail attachment single messages sent immediately e mail address may secretly stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address,New Loan
want close account disclaimer e mail contains privileged confidential information intended solely use identified intended recipient intended recipient please notify sender e mail delete original funding message misuse email unlawful please note views opinions presented email solely author nt necessarily represent company l financial services taken ignoring every reasonable precaution minimize risks virus transmitting email however l financial financial services disclaims responsibility maximum liability including errors loss negligence result virus e mail recommend carry frequent virus maintenance checks voluntarily take required precautions opening e mail attachment messages sent e main mail address may stored l financial services e mail system l financial services reserves right monitor review content messages sent e mail address,Interaction
